Country,Word,English_word
Romania,mare,big
Romania,mic,small
Romania,"femeie, muiere",woman
Romania,"om, barbat",man
Russia,ya,I
Russia,odin,one
Russia,bol'shoy,big
Russia,nebol'shoy,small
Russia,zhenshchina,woman
Russia,chelovek,man
Serbia,ja,I
Serbia,jedan,one
Serbia,veliki,big
Serbia,mali,small
Serbia,zena,woman
Serbia,covece,man
Slovakia,ja,I
Slovakia,jeden,one
Slovakia,vel'ky,big
Slovakia,maly,small
Slovakia,zena,woman
Slovakia,muz,man
Slovenia,jaz,I
Slovenia,enas,one
Slovenia,velik,big
Slovenia,majhna,small
Slovenia,zenska,woman
Slovenia,clovek,man
Spain,yo,I
Spain,uno,one
Spain,grande,big
Spain,pequena,small
Spain,mujer,woman
Spain,hombre,man
Sweden,I,I
Sweden,ett,one
Sweden,stor,big
Sweden,sma,small
Sweden,kvinna,woman
Sweden,man,man
Switzerland,jau,I
Switzerland,in,one
Switzerland,grond,big
Switzerland,pitschen,small
Switzerland,"dunna, femna",woman
Switzerland,"blers, bleras",man
Syria,ana,I
Syria,wahid,one
Syria,kabir,big
Syria,saghir,small
Syria,alnisa',woman
Syria,rajul,man
Turkey,ben,I
Turkey,bir,one
Turkey,buyuk,big
Turkey,kucuk,small
Turkey,kadin,woman
Turkey,adam,man
Ukraine,ya,I
Ukraine,odyn,one
Ukraine,velykyy,big
Ukraine,malen'kyy,small
Ukraine,zhinka,woman
Ukraine,lyudyna,man
United Kingdom,I,I
United Kingdom,one,one
United Kingdom,big,big
United Kingdom,small,small
United Kingdom,woman,woman
United Kingdom,man,man
